Ruído,Async_D1,Sync_D1,Async_D2,Sync_D2,Async_D3,Sync_D3,Async_D4,Sync_D4
0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5%,1.0,1.0,0.89,0.8,0.756,0.724,0.986,1.0
10%,0.994,1.0,0.772,0.676,0.658,0.604,0.912,0.916
15%,0.968,0.98,0.674,0.614,0.506,0.416,0.796,0.852
20%,0.928,0.93,0.644,0.54,0.462,0.388,0.744,0.782
25%,0.84,0.804,0.57,0.496,0.396,0.334,0.662,0.688
30%,0.694,0.694,0.46,0.386,0.33,0.25,0.522,0.57
35%,0.534,0.534,0.354,0.262,0.254,0.172,0.388,0.4
40%,0.296,0.284,0.21,0.19,0.156,0.068,0.252,0.226
45%,0.134,0.066,0.104,0.036,0.054,0.01,0.104,0.038
50%,0.018,0.01,0.012,0.01,0.008,0.0,0.014,0.012
